District,Blocks
Araria,Araria
Araria,Jokihat
Araria,Kursakanta
Araria,Raniganj
Araria,Sikti
Araria,Palasi
Araria,Forbesganj
Araria,Narpatganj
Araria,Bhargama
Arwal,Arwal
Arwal,Kaler
Arwal,Kapri
Arwal,Kurtha
Arwal,Sonbhadra-Bansi-Surajpur
Arwal,Jehanabad
Arwal,Ratni Faridpur
Aurangabad,Aurangabad
Aurangabad,Barun
Aurangabad,Navinagar
Aurangabad,Kutumba
Aurangabad,Madanpur
Aurangabad,Deo
Aurangabad,Rafiganj
Aurangabad,Obra
Aurangabad,Daudnagar
Aurangabad,Goh
Aurangabad,Haspura
Banka,Amarpur
Banka,Shambhuganj
Banka,Banka
Banka,Barahat
Banka,Belhar
Banka,Chandan
Banka,Fullidumar
Banka,Dhuraiya
Banka,Rajaun
Banka,Bausi
Banka,Katoria
Begusarai,Begusarai
Begusarai,Barauni
Begusarai,Matihani
Begusarai,Birpur
Begusarai,Samho Akha Kurha
Begusarai,Cheriya Bariyarpur
Begusarai,Chhorahi
Begusarai,Khudabandpur
Begusarai,Balia
Begusarai,Dandari
Begusarai,Sahebpur Kamal
Begusarai,Bakhari
Begusarai,Garhpura
Begusarai,Nawkothi
Begusarai,Teghara
Begusarai,Bachhwara
Begusarai,Bhagwanpur
Begusarai,Mansoorchak
Bhagalpur,Goradih
Bhagalpur,Jagdishpur
Bhagalpur,Nathnagar
Bhagalpur,Sabour
Bhagalpur,Shahkund
Bhagalpur,Sultanganj
Bhagalpur,Kahalgaon
Bhagalpur,Pirpainty
Bhagalpur,Sanhaula
Bhagalpur,Bihpur
Bhagalpur,Gopalpur
Bhagalpur,Ismailpur
Bhagalpur,Kharik
Bhagalpur,Narayanpur
Bhagalpur,Naugachhiya
Bhagalpur,Rangrachowk
Bhojpur,Arrah
Bhojpur,Agiaon
Bhojpur,Barhara
Bhojpur,Koilwar
Bhojpur,Udwantnagar
Bhojpur,Sandesh
Bhojpur,Sahar
Bhojpur,Garhani
Bhojpur,Jagdishpur
Bhojpur,Bihiya
Bhojpur,Shahpur
Bhojpur,Piro
Bhojpur,Charpokhari
Bhojpur,Tarari
Buxar,Buxar
Buxar,Itarhi
Buxar,Chausa
Buxar,Rajpur
Buxar,Dumraon
Buxar,Nawanagar
Buxar,Brahampur
Buxar,Kesath
Buxar,Chakki
Buxar,Chougain
Buxar,Simri
Darbhanga,Darbhanga Sadar
Darbhanga,Bahadurpur
Darbhanga,Keoti
Darbhanga,Singhwara
Darbhanga,Jale
Darbhanga,Manigachhi
Darbhanga,Tardih
Darbhanga,Baheri
Darbhanga,Hayaghat
Darbhanga,Hanuman Nagar
Darbhanga,Benipur
Darbhanga,Alinagar
Darbhanga,Biraul
Darbhanga,Ghanshyampur
Darbhanga,Kusheshwar Asthan
Darbhanga,Kusheshwar Asthan East
Darbhanga,Kiratpur
Darbhanga,Gaura Bauram
East Champaran,Banjaria
East Champaran,Motihari
East Champaran,Piprakothi
East Champaran,Kotowa
East Champaran,Sugauli
East Champaran,Turkaulia
East Champaran,Sangrampur
East Champaran,Harsidhi
East Champaran,Areraj
East Champaran,Paharpur
East Champaran,Raxaul
East Champaran,Ramgarhwa
East Champaran,Adapur
East Champaran,Chauradano
East Champaran,Bankatwa
East Champaran,Chiraiya
East Champaran,Ghorasahan
East Champaran,Dhaka
East Champaran,Madhuban
East Champaran,Tetaria
East Champaran,Patahi
East Champaran,Phenhara
East Champaran,Pakaridayal
East Champaran,Chakia
East Champaran,Mehsi
East Champaran,Kesaria
East Champaran,Kalyanpur
Gaya,Gaya Sadar
Gaya,Belaganj
Gaya,Wazirganj
Gaya,Manpur
Gaya,Bodhgaya
Gaya,Tankuppa
Gaya,Fatehpur
Gaya,Khizarsarai
Gaya,Atri
Gaya,Bathani
Gaya,Mohra
Gaya,Gurua
Gaya,Amas
Gaya,Banke Bazar
Gaya,Imamganj
Gaya,Dumariya
Gaya,Sherghati
